regime,n,rate,metric,mean_log2_rank,median_log2_rank,p95_log2_rank,mean_normalized_rank,median_oracle_overhead_bits,p95_oracle_overhead_bits,mean_effective_log2_queries,mean_bler_proxy
MODERATE_MEMORY,128,0.75,KT1_UNIVERSAL,63.10932187783537,64.2106282741109,81.26706364913348,0.49304157717058883,4.115404608596126,4.937962161114162,31.929178554743807,0.982905614425184
MODERATE_MEMORY,128,0.75,ORACLE_MARKOV,59.46095292155654,59.88695053506272,77.8353391688763,0.46453869469966047,0.0,0.0,31.84174857184494,0.976170924116326
MODERATE_MEMORY,128,0.875,EMPIRICAL_ML1,63.42004319471611,64.59410516817277,81.81274804986917,0.4954690874587196,4.459602950194714,5.167181260625001,16.0,1.0
MODERATE_MEMORY,128,0.875,FIT_16,65.36166514082022,66.1040503378872,87.59955897803562,0.510638008912658,1.0815771306067568,22.047273818727348,16.0,1.0
MODERATE_MEMORY,128,0.875,FIT_512,59.55208940321271,60.318852162418324,77.36275176559305,0.4652506984625993,0.00018351319968523683,1.1271779728338136,16.0,1.0
MODERATE_MEMORY,128,0.875,FIT_64,61.03290147519188,61.88607697743819,80.14313950384228,0.47681954277493654,0.8342166281525003,6.427633245834473,16.0,1.0
MODERATE_MEMORY,128,0.875,KT0_MEMORYLESS,80.15781365681815,82.63488607412575,101.86388389462634,0.6262329191938918,19.562376712421866,35.29817262118785,16.0,1.0
MODERATE_MEMORY,128,0.875,KT1_UNIVERSAL,63.10932187783537,64.2106282741109,81.26706364913348,0.49304157717058883,4.115404608596126,4.937962161114162,16.0,1.0
MODERATE_MEMORY,128,0.875,ORACLE_MARKOV,59.46095292155654,59.88695053506272,77.8353391688763,0.46453869469966047,0.0,0.0,16.0,1.0
MODERATE_MEMORY,256,0.75,EMPIRICAL_ML1,125.33876616784214,127.12918134647329,159.27770802581506,0.48960455534313335,4.567171661143135,5.460783382115221,64.0,1.0
MODERATE_MEMORY,256,0.75,FIT_16,130.00201252070156,127.268774227531,173.36545835556944,0.5078203614089905,2.2782249077732715,35.70059198319335,64.0,1.0
MODERATE_MEMORY,256,0.75,FIT_512,121.75764975102848,123.40011107481773,153.7897840798753,0.475615819339955,0.09899058445698472,2.47033582142855,64.0,1.0
MODERATE_MEMORY,256,0.75,FIT_64,124.64595450764764,124.21462093619436,164.34989167248972,0.4868982597954986,0.4414964859312889,13.367441417286807,64.0,1.0
MODERATE_MEMORY,256,0.75,KT0_MEMORYLESS,160.55449420568866,159.8986951290004,200.47604084693995,0.6271659929909713,38.78831318021547,63.61364118680687,64.0,1.0
MODERATE_MEMORY,256,0.75,KT1_UNIVERSAL,125.08865415980367,126.87351027442129,159.08569143443802,0.4886275553117331,4.362134164034444,5.281338711725086,64.0,1.0
MODERATE_MEMORY,256,0.75,ORACLE_MARKOV,121.32832184012753,122.53436740237237,154.03604876440093,0.47393875718799816,0.0,0.0,64.0,1.0
MODERATE_MEMORY,256,0.875,EMPIRICAL_ML1,125.33876616784214,127.12918134647329,159.27770802581506,0.48960455534313335,4.567171661143135,5.460783382115221,32.0,1.0
MODERATE_MEMORY,256,0.875,FIT_16,130.00201252070156,127.268774227531,173.36545835556944,0.5078203614089905,2.2782249077732715,35.70059198319335,32.0,1.0
MODERATE_MEMORY,256,0.875,FIT_512,121.75764975102848,123.40011107481773,153.7897840798753,0.475615819339955,0.09899058445698472,2.47033582142855,32.0,1.0
MODERATE_MEMORY,256,0.875,FIT_64,124.64595450764764,124.21462093619436,164.34989167248972,0.4868982597954986,0.4414964859312889,13.367441417286807,32.0,1.0
MODERATE_MEMORY,256,0.875,KT0_MEMORYLESS,160.55449420568866,159.8986951290004,200.47604084693995,0.6271659929909713,38.78831318021547,63.61364118680687,32.0,1.0
MODERATE_MEMORY,256,0.875,KT1_UNIVERSAL,125.08865415980367,126.87351027442129,159.08569143443802,0.4886275553117331,4.362134164034444,5.281338711725086,32.0,1.0
MODERATE_MEMORY,256,0.875,ORACLE_MARKOV,121.32832184012753,122.53436740237237,154.03604876440093,0.47393875718799816,0.0,0.0,32.0,1.0
NEAR_IID_CONTROL,32,0.75,EMPIRICAL_ML1,12.455220042314064,11.636624620543635,19.806452074661085,0.3892256263223145,2.584962500721156,2.8981203859807696,7.576368544187515,0.8397737305826837
NEAR_IID_CONTROL,32,0.75,FIT_16,10.264445715157935,9.622051819456361,18.40268354629184,0.32076392859868547,0.0,2.236385849501926,6.722774746722263,0.7024093636603618
NEAR_IID_CONTROL,32,0.75,FIT_512,9.972218733077442,9.047123912114008,17.879951828913207,0.31163183540867007,0.0,5.941270872611089e-07,6.778241460810972,0.7045301323405969
NEAR_IID_CONTROL,32,0.75,FIT_64,10.00126394360581,9.047123912114008,17.87995925508894,0.31253949823768157,0.0,0.20016104481708383,6.752575509412378,0.7065283976758792
NEAR_IID_CONTROL,32,0.75,KT0_MEMORYLESS,11.230186120785865,10.047123912114008,18.8895574360605,0.35094331627455827,1.0,1.0,7.083878823871695,0.7663156271396707
NEAR_IID_CONTROL,32,0.75,KT1_UNIVERSAL,11.82081742756183,11.167418145831727,19.52134355947957,0.36940054461130717,2.1086147491022214,2.323241665988675,7.149533612061743,0.7727604302813407
NEAR_IID_CONTROL,32,0.75,ORACLE_MARKOV,10.230186120785868,9.047123912114008,17.8895574360605,0.3196933162745584,0.0,0.0,6.808878823871694,0.7183058816860145
