family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_estimated_updates,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n64_k56",0.875,64,56,0.002,26,0,38,1,1,1,1,1,7.9330000000000001e-05,0.015681389,0.001726928,0.001726928,SYNDROME_TRELLIS,0.0050588630892327204,0.045937062807482422,126,63,63,63,1,63,64,362,1,1,331,2097152,12366,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,27,0,1,1,1,1,1,1,8.5048000000000003e-05,0.045712526000000003,0.001972564,0.001972564,SYNDROME_TRELLIS,0.0018604966174916695,0.043115457850797241,127,64,63,64,1,64,64,937,1,1,869,2097152,15451,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,28,0,46,1,1,1,1,1,8.3651000000000003e-05,0.057265330000000003,0.0022315099999999999,0.0022315099999999999,SYNDROME_TRELLIS,0.0014607616859974438,0.037486276109002424,128,65,63,65,1,65,64,1278,1,1,1193,2097152,20087,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,29,0,51,1,1,1,1,1,7.7410999999999995e-05,0.043366237000000002,0.0017647489999999999,0.0017647489999999999,SYNDROME_TRELLIS,0.0017850522746532052,0.043865161561219189,128,65,63,65,1,65,64,942,1,1,859,2097152,14209,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,30,0,38,1,1,1,1,1,8.1625000000000005e-05,0.0066579350000000002,0.00252498,0.00252498,SYNDROME_TRELLIS,0.01225980728258837,0.032326988728623593,123,61,62,61,1,61,64,155,1,1,138,2097152,19189,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,31,0,47,1,1,1,1,1,0.00011279499999999999,0.028523475999999999,0.0022413289999999998,0.0022413289999999998,SYNDROME_TRELLIS,0.0039544619316383457,0.050325052680797865,127,64,63,64,2,64,64,572,1,1,527,2097152,18680,2097152,67,2
random_linear,"RLC_n64_k56",0.875,64,56,0.002,32,0,43,1,1,1,1,1,8.9876000000000005e-05,0.028690495999999999,0.0022158830000000001,0.0022158830000000001,SYNDROME_TRELLIS,0.0031326053059521873,0.040559903207885974,127,64,63,64,1,64,64,595,1,1,549,2097152,17900,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,33,0,2,1,1,1,1,1,0.00010755,0.0051365220000000001,0.0021084319999999999,0.0021084319999999999,SYNDROME_TRELLIS,0.02093829248662811,0.051009470544935764,123,61,62,61,2,61,64,121,1,1,107,2097152,17234,2097152,66,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,34,0,33,1,1,1,1,1,8.2705000000000002e-05,0.020907093000000002,0.0019523380000000001,0.0019523380000000001,SYNDROME_TRELLIS,0.0039558345103262319,0.042362029525625171,127,64,63,64,1,64,64,458,1,1,425,2097152,15206,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,35,0,31,1,1,1,1,1,8.3565000000000004e-05,0.052187439000000002,0.0020831420000000001,0.0020831420000000001,SYNDROME_TRELLIS,0.0016012473806196928,0.040114884150960428,128,65,63,65,1,65,64,1077,1,1,947,2097152,16808,2097152,65,1
