channel,family,nonadditive,representation,support_size,latent_entropy_bits,channel_h_y_given_x_uniform_bits,transition_degeneracy_bits,uniform_fiber_ambiguity_bits,kappa,random_code_fiber_ceiling_bits_per_symbol,injective_mass,bi_unambiguous,channel_capacity_bits_per_symbol,capacity_ba_iterations,multiplicity_mean_transition_weighted,multiplicity_max,multiplicity_mean_unweighted,exact_all,best_work_optimistic,best_work_balanced,best_work_pessimistic,best_order_optimistic,best_order_balanced,best_order_pessimistic,best_balanced_atoms,best_balanced_fiber_entries,best_balanced_certified_probability,construction,is_natural_independent
BEC_e0.250,erasure_control,True,BEC_s0.03125000__reduced__reduced,4,1.134580954883921,0.8112781244591328,0.32330283042478813,0.21875,1.21875,0.7145977811377516,0.78125,False,0.75,2,2.0,2.0,1.3333333333333333,True,7.074999999999999,13.075,26.55,"[0, 3, 1, 2]","[0, 3, 1, 2]","[0, 3, 1, 2]",1.75,1.75,0.75,bec_one_parameter,False
BEC_e0.250,erasure_control,True,BEC_s0.06250000__reduced__reduced,4,1.3244602933016414,0.8112781244591328,0.5131821688425086,0.1875,1.1875,0.7520724865564146,0.8125,False,0.75,2,2.0,2.0,1.3333333333333333,True,7.074999999999999,13.075,26.55,"[0, 3, 1, 2]","[0, 3, 1, 2]","[0, 3, 1, 2]",1.75,1.75,0.75,bec_one_parameter,False
BEC_e0.250,erasure_control,True,BEC_s0.09375000__reduced__reduced,4,1.4575599575900715,0.8112781244591328,0.6462818331309387,0.15625,1.15625,0.7905466343710502,0.84375,False,0.75,2,2.0,2.0,1.3333333333333333,True,7.074999999999999,13.075,26.55,"[0, 3, 1, 2]","[0, 3, 1, 2]","[0, 3, 1, 2]",1.75,1.75,0.75,bec_one_parameter,False
BEC_e0.250,erasure_control,True,BEC_s0.12500000__reduced__reduced,4,1.5487949406953985,0.8112781244591328,0.7375168162362656,0.125,1.125,0.8300749985576876,0.875,False,0.75,2,2.0,2.0,1.3333333333333333,True,7.074999999999999,13.075,26.55,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",1.75,1.75,0.75,bec_one_parameter,False
BEC_e0.250,erasure_control,True,BEC_s0.15625000__reduced__reduced,4,1.603600274797962,0.8112781244591328,0.7923221503388292,0.09375,1.09375,0.8707169830550335,0.90625,False,0.75,2,2.0,2.0,1.3333333333333333,True,7.074999999999999,13.075,26.55,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",1.75,1.75,0.75,bec_one_parameter,False
BEC_e0.250,erasure_control,True,BEC_s0.21875000__reduced__reduced,4,1.6003175871855553,0.8112781244591328,0.7890394627264224,0.03125,1.03125,0.9556058806415466,0.96875,False,0.75,2,2.0,2.0,1.3333333333333333,True,7.074999999999999,13.075,26.55,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",1.75,1.75,0.75,bec_one_parameter,False
BEC_e0.600,erasure_control,True,INDEPENDENT_ROWS__reduced__reduced,4,1.9419011889093372,0.9709505944546686,0.9709505944546686,0.36,1.3599999999999999,0.5563933485243855,0.64,False,0.4,2,2.0,2.0,1.3333333333333333,True,13.159999999999998,23.799999999999997,48.0,"[3, 1, 2, 0]","[3, 1, 2, 0]","[3, 1, 2, 0]",3.6,2.8,0.4,independent_row_coupling,True
BEC_e0.600,erasure_control,True,COMMON_UNIFORM_000__reduced__reduced,2,0.9709505944546686,0.9709505944546686,0.0,0.6,1.6,0.3219280948873623,0.4,False,0.4,2,1.0,1.0,0.6666666666666666,True,7.279999999999999,13.099999999999998,26.4,"[0, 1]","[0, 1]","[0, 1]",2.0,1.6,0.4,common_uniform,False
BEC_e0.600,erasure_control,True,COMMON_UNIFORM_001__reduced__reduced,3,1.5219280948873621,0.9709505944546686,0.5509775004326936,0.19999999999999996,1.2,0.7369655941662062,0.8,False,0.4,2,1.6,2.0,1.0,True,10.92,20.15,40.6,"[0, 1, 2]","[0, 1, 2]","[0, 1, 2]",2.5999999999999996,2.8,0.4,common_uniform,False
BEC_e0.600,erasure_control,True,BEC_s0.05000000__reduced__reduced,4,1.4366664819166874,0.9709505944546686,0.46571588746201886,0.5499999999999999,1.5499999999999998,0.36773178450048727,0.45000000000000007,False,0.4,2,2.0,2.0,1.3333333333333333,True,12.2,22.2,44.8,"[0, 3, 1, 2]","[0, 3, 1, 2]","[0, 3, 1, 2]",3.2,2.8,0.4,bec_one_parameter,False
BEC_e0.600,erasure_control,True,BEC_s0.10000000__reduced__reduced,4,1.6854752972273344,0.9709505944546686,0.7145247027726658,0.5,1.5,0.4150374992788438,0.5,False,0.4,2,2.0,2.0,1.3333333333333333,True,12.2,22.2,44.8,"[0, 3, 1, 2]","[0, 3, 1, 2]","[0, 3, 1, 2]",3.2,2.8,0.4,bec_one_parameter,False
BEC_e0.600,erasure_control,True,BEC_s0.15000000__reduced__reduced,4,1.8394910703001344,0.9709505944546686,0.8685404758454658,0.44999999999999996,1.45,0.4639470997597903,0.55,False,0.4,2,2.0,2.0,1.3333333333333333,True,13.54,24.599999999999998,49.599999999999994,"[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]",3.6,3.0,0.4,bec_one_parameter,False
BEC_e0.600,erasure_control,True,BEC_s0.20000000__reduced__reduced,4,1.9219280948873623,0.9709505944546686,0.9509775004326937,0.39999999999999997,1.4,0.5145731728297583,0.6000000000000001,False,0.4,2,2.0,2.0,1.3333333333333333,True,14.399999999999999,26.199999999999996,52.8,"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]",3.8,3.2,0.4,bec_one_parameter,False
BEC_e0.600,erasure_control,True,BEC_s0.25000000__reduced__reduced,4,1.9406454496153462,0.9709505944546686,0.9696948551606777,0.35,1.35,0.5670405927238937,0.65,False,0.4,2,2.0,2.0,1.3333333333333333,True,13.159999999999998,23.799999999999997,48.0,"[3, 1, 2, 0]","[3, 1, 2, 0]","[3, 1, 2, 0]",3.6,2.8,0.4,bec_one_parameter,False
BEC_e0.600,erasure_control,True,BEC_s0.30000000__reduced__reduced,4,1.895461844238322,0.9709505944546686,0.9245112497836534,0.29999999999999993,1.2999999999999998,0.6214883767462704,0.7000000000000001,False,0.4,2,2.0,2.0,1.3333333333333333,True,13.159999999999998,23.799999999999997,48.0,"[3, 1, 2, 0]","[3, 1, 2, 0]","[3, 1, 2, 0]",3.6,2.8,0.4,bec_one_parameter,False
BEC_e0.600,erasure_control,True,BEC_s0.35000000__reduced__reduced,4,1.7762976257251988,0.9709505944546686,0.8053470312705302,0.24999999999999994,1.25,0.6780719051126376,0.75,False,0.4,2,2.0,2.0,1.3333333333333333,True,12.359999999999998,22.599999999999998,45.599999999999994,"[1, 2, 3, 0]","[1, 2, 3, 0]","[1, 2, 3, 0]",3.2,2.8,0.4,bec_one_parameter,False
